text;target
"Character of Potus is very important as well &amp; is best reason for #NeverHillary who is corrupt, untrustworthy liar. https://t.co/Ttxh8hDBvH";1
Trump thought he was going to win Utah in landslide bc many people had told him the state was  all Morons like him. https://t.co/rg8qOrh6pu;1
@helenaguirrefer is delusional and a hypocrite. @HillaryClinton;1
@Chris81409 @FoxNews @realDonaldTrump Do you realize that @OMAROSA @RealBenCarson  are Black?  Have you ever thought U might be color blind?;1
No one will roll up his sleeves and do more to help ALL AMERICANS than @realDonaldTrump https://t.co/oh42D38OtN;0
@realDonaldTrump Why HRC destroyed 1,000's of Government doc's and lie about it? Why won't Obama turn-over HRC's 12,000 foundation emails?;1
@IngrahamAngle What about @realDonaldTrump Flipflop on immigration?? He's a  democrat and will keep putting them diggers in yall back.;1
"Wow!! @fox5ny anchor says @HillaryClinton ""appearing to stumble"" in covering story. What!!! Everyone is lying to us https://t.co/znI3ScpQw9";1
@OnMessageForHer @HillaryClinton -- The Birth of the Queen of Corruption, Hillary Rodham Clinton https://t.co/BgV6la9oCX via @sharethis;1
Just watched recap of #AbeLincoln GettyAddress. Very short and lies. She is the one that will perish from this earth https://t.co/OvvvZzouUJ;1
"@realDonaldTrump may become our next official #POTUS, but we each each lead by our example every moment.

We shall #MakeAmericaGreatAgain";0
"#IamSickenedBy #Bridgegate names to remain secret for now, ,stall like  Donald #nevertrump  #taxes &amp; #TrumpU fraud https://t.co/f9YFHsm8Th";1
Thank you Donald Trump @realDonaldTrump  https://t.co/YehdaVOtM9;0
@realDonaldTrump @sheepzipper who gives a flying kitty about the media, they are not your war.  We are counting on you to fact check HC.;0
@realDonaldTrump Never going to be wall. Expensive, impractical. How would you make Mexico pay for *wall* if you won't discuss it w/them?;1
Wow hillary is a lying sleaze ball politician, and you support that? Your the problem, not the solution. https://t.co/SJGZ6qKACn;1
@realDonaldTrump @HillaryClinton @KellyannePolls @KeithOlbermann Donald Dangerfield is playing with matches. VETO TRUMP!;1
@SopanDeb @daveweigel @GMSteveTrammell @HillaryClinton @NolteNC hope the GOP can't win based on their non stop lying and twisting everything;1
"@HillaryClinton @realDonaldTrump 

LYIN COWARDLY SCUM BAG TRUMP hires a new Moses.  LYIN TRUMP hopes new team can lead him to WH
I HOPE NOT";1
@KittenHoliday because what @realDonaldTrump proposes and says is neither Christian nor adult?;1
@KalynBCagle @realDonaldTrump awesome insta pic opportunity;0
"@HatingBofA @LouDobbs @DiamondandSilk @realDonaldTrump 
Sadly, It gets worse https://t.co/dPkYITk2Et";1
"@realDonaldTrump THIS TERRORIST WAS ALL COOKED UP BY THE CROOKED HILLARY CLINTON &amp;SCHULTZ AT THE DNC! CORRUPTION! https://t.co/Bt0LyKY3J2";1
Please help @realDonaldTrump to have the comfortable life he'll have when he loses in Nov. and save our country from ruination. #CNN #MSNBC;1
Oh yeah #MAGA, keep pushing https://t.co/goDGi3J5Tp;0
"@TraddyCath Please get out &amp; volunteer in your area for @realDonaldTrump &amp; help get him elected in Nov. Please RT https://t.co/1JnmlXmoWB";0
@deedee3003 @realDonaldTrump Seriously your as fucking crazy as Trump to pretend you know about our lives. https://t.co/8WPdQAyOpb;1
@TeddyDavisCNN @CNN @HillaryClinton Please get Trump off the air now. Stop airing his entire rallies!! There has to be other news to cover;1
@Goodymobb1 @realDonaldTrump He'll lose both states.;1
@realDonaldTrump but we're already calling you a racist jackass.;1
@ReignsFreedom #trump Twitter will make your day! @SEC_SAM @terrymendozer @TexansforTrump2 @NimbleNavgater @TexansforTrump2 @Bikers4Trump;0
"$54.4 Million Donated to Clinton Foundation
$5.44 Million Spent Haiti ✔ Pocketed $49 Million
#Hillary4Prison! #MAGA https://t.co/LAvZIczX4l";1
@AndrewDendel Fair point.  Here's another: we know what #Hillary will do, and it is a known disaster.  This is not hard.;1
@realDonaldTrump whoa!you do have maybe a gut or two!#buildthatwall#markhisword;0
"@realDonaldTrump I don't give a shit what drunken Tim Unable say; just like Angela Merkel is in Hangzhou but back home she's melting down.";1
"@strong_sue @DarleneHBrook @Jana_1977 Thats a ""good enough"" reason to allow a lying cheating agenda driven democracy destroying #Hillary in?";1
@realDonaldTrump she's so dumb, , thinking all Americans fall for that, ,go Trump;1
"""And for him to say he sacrificed. He does not know sacrifice."" -Gold Star Mother for @HillaryClinton #NVTogether https://t.co/jxgikpmIbr";0
@HillaryClinton love trumps hate? Then why do you hate these Americans https://t.co/rOmtiMpz83;1
#morningjoe continues its disgusting slide with its take down of #trump. Disgusting;1
While #Trump brings change and unity to our nation, #Hillary sleeps... I'm assuming she's sleeping or either she's scared?? #Trump2016;1
@realDonaldTrump is a terrible human being;1
@DonaldJTrumpJr @EricTrump @realDonaldTrump PLEASE HELP common law abiding parents get their kids back!!  We need judicial accountability!!;0
@SwiftsKing @realDonaldTrump  your high if you think so. Killary will ruin our country. you have money so no comments from you needed!;1
A-rated transparent Clinton Foundation - duh what's the problem? #p2 #GOP #maga #tlot #tcot #ccot #teaparty #USA https://t.co/QdgAKngOrN;1
@DanScavino U will probably end up where @realDonaldTrump is going AFTER he loses YUGELY. https://t.co/QugkW4axex;1
Bill wants #Trump to #maga too!;0
Failed. Dishonest. Dangerous. Crooked. Disgusting. Liar. Trump's charges of others fit him perfectly. @realDonaldTrump #ImWithHer #CNNSOTU;1
@LawyerRogelio So should people start saying Heil Trump? #nevertrump #lyindonald #altrightmeans #lawsaid #littlehandstrump #imwithher;1
So grateful the @usopen is on so I don't have to hear @realDonaldTrump's dizzying immigration reform #Aryanzona;1
@TanjaGibson @realDonaldTrump @AlanKestrel750 These are the people that follows Mr Racist! @TheDemocrats;1
#Kaepernick says #America is not great, people tell him to leave. #DonaldTrump  says America is not great, let's vote him president. Smh;1
